OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.9125,0.955,-912.9417663238804*(x-0.9125000000000001)*(x-0.9125000000000001)*(x-0.9125000000000001)+58.20003760314735*(x-0.9125000000000001)*(x-0.9125000000000001)+0.0*(x-0.9125000000000001)+0.9416576027870178
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.955,0.9925,-50.873941325932556*(x-0.9550000000000001)*(x-0.9550000000000001)*(x-0.9550000000000001)-13.901137994005946*(x-0.9550000000000001)*(x-0.9550000000000001)+0.0*(x-0.9550000000000001)+0.9766988754272461
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.9925,1.1,0.9544675946235658
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,-15.0,0.0,1.5948002338409424
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.0,0.06,1.5948002338409424
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.06,0.145,200.7415224173621*(x-0.06)*(x-0.06)*(x-0.06)+33.36593454867684*(x-0.06)*(x-0.06)-10.02328137167139*(x-0.06)+1.5948002338409424
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.145,0.195,-856.8725585937506*(x-0.14500000000000002)*(x-0.14500000000000002)*(x-0.14500000000000002)+64.26544189453128*(x-0.14500000000000002)*(x-0.14500000000000002)+0.0*(x-0.14500000000000002)+1.107170581817627
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.195,0.2475,1636.1024045068875*(x-0.195)*(x-0.195)*(x-0.195)-147.7683818679006*(x-0.195)*(x-0.195)+0.0*(x-0.195)+1.1607251167297363
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.2475,0.3,317.7000261169131*(x-0.2475)*(x-0.2475)*(x-0.2475)-6.093559543723742*(x-0.2475)*(x-0.2475)-1.9871583388632361*(x-0.2475)+0.9901876449584961
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.3,0.35,-2934.461073505965*(x-0.30000000000000004)*(x-0.30000000000000004)*(x-0.30000000000000004)+226.86056874335247*(x-0.30000000000000004)*(x-0.30000000000000004)+0.0*(x-0.30000000000000004)+0.9150386452674866
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.35,0.4,-25.03438435800329*(x-0.35)*(x-0.35)*(x-0.35)-4.8984094035551236*(x-0.35)*(x-0.35)+0.6775988230405379*(x-0.35)+1.115382432937622
